Timestamp,Date,Game,Players,Winner,Duration (minutes),Score
1/15/2015 22:52:53,1/1/2015,Mascarade,"Brian,Carol,Esther,Johnny,Melissa,Melody,Michael,Tim",Esther,29,
1/15/2015 22:55:32,1/1/2015,Wits and Wagers,"Brian/Melissa,Carol/Johnny,Esther/Michael,Melody/Tim",Brian/Melissa,19,18
1/15/2015 22:56:39,1/1/2015,Wits and Wagers,"Brian/Melissa,Carol/Johnny,Esther/Michael,Melody/Tim",Melody/Tim,29,16
1/15/2015 22:57:19,1/1/2015,Wits and Wagers,"Brian/Melissa,Carol/Johnny,Esther/Michael,Melody/Tim",Esther/Michael,33,15
1/15/2015 23:00:51,1/1/2015,Cosmic Encounter,"Brian,Carol,Esther,Melissa,Melody,Michael,Tim","Carol,Michael",97,
1/15/2015 23:02:50,1/2/2015,Bananagrams,"Brian,Carol,Melissa,Tim",Carol,5,
1/15/2015 23:03:28,1/2/2015,Bananagrams,"Brian,Carol,Melissa,Tim",Melissa,6,
1/15/2015 23:03:57,1/2/2015,Bananagrams,"Brian,Carol,Melissa,Tim",Brian,4,
1/15/2015 23:06:23,1/3/2015,Scattergories,"Brian,Carol,Melissa,Melody,Tim",Brian,30,23
1/15/2015 23:07:04,1/3/2015,Cosmic Encounter,"Brian,Melissa,Melody,Tim",Melissa,35,
1/15/2015 23:07:57,1/3/2015,Cosmic Encounter,"Brian,Esther,Melissa,Melody,Michael,Tim",Melody,91,
1/15/2015 23:09:35,1/4/2015,Hanabi,"Brian,Carol,Melissa,Melody,Tim","Brian,Carol,Melissa,Melody,Tim",28,12
1/15/2015 23:10:13,1/4/2015,Hanabi,"Brian,Carol,Melissa,Melody,Tim","Brian,Carol,Melissa,Melody,Tim",30,20
1/15/2015 23:11:41,1/5/2015,Settlers of Catan,"Brian,Melissa,Michael,Tim",Brian,232,17
1/15/2015 23:13:36,1/5/2015,The Resistance,"Brian,Esther,Melissa,Melody,Michael","Esther,Melissa,Michael",20,
1/15/2015 23:14:28,1/5/2015,The Resistance,"Brian,Carol,Esther,Johnny,Melissa,Melody,Michael,Tim","Carol,Esther,Melissa",39,
1/15/2015 23:15:19,1/5/2015,Hanabi,"Brian,Carol,Melissa,Melody,Tim","Brian,Carol,Melissa,Melody,Tim",32,
1/15/2015 23:15:43,1/5/2015,Hanabi,"Brian,Carol,Melissa,Melody,Tim","Brian,Carol,Melissa,Melody,Tim",30,
1/15/2015 23:16:47,1/6/2015,Puerto Rico,"Brian,Carol,Michael,Tim",Carol,83,50
1/15/2015 23:17:47,1/6/2015,Cosmic Encounter,"Brian,Esther,Melissa,Melody,Michael,Tim","Brian,Melissa,Melody,Tim",98,
1/15/2015 23:18:54,1/6/2015,The Resistance,"Brian,Esther,Melissa,Melody,Michael,Tim","Brian,Esther,Melody,Michael",35,
1/15/2015 23:19:56,1/6/2015,The Resistance,"Brian,Esther,Melissa,Melody,Michael,Tim","Brian,Esther,Melody,Michael",24,
1/15/2015 23:21:34,1/6/2015,Cosmic Encounter,"Brian,Esther,Melissa,Melody,Michael,Tim",Michael,88,
1/15/2015 23:22:51,1/13/2015,Boggle,"Brian,Melissa",Brian,34,43
1/15/2015 23:23:56,1/15/2015,Paperback,"Brian,Melissa",Melissa,60,56
1/15/2015 23:24:35,1/15/2015,Forbidden Island,"Brian,Melissa","Brian,Melissa",27,Legendary
1/15/2015 23:25:15,1/15/2015,Jaipur,"Brian,Melissa",Melissa,43,"90,78,72"
1/17/2015 18:23:19,1/17/2015,Kingsburg,"Brian,Luke,Zach",Brian,101,52
1/17/2015 20:29:02,1/17/2015,Forbidden Island,"Brian,Luke,Zach",Nobody,30,
1/17/2015 21:13:52,1/17/2015,Dice Masters,"Brian,Zach",Brian,34,8
1/17/2015 21:58:47,1/17/2015,Dice Masters,"Brian,Luke",Luke,27,9
1/18/2015 15:56:57,1/18/2015,Dice Masters,"Brian,Zach",Brian,65,14
1/22/2015 22:46:17,1/22/2015,Paperback,"Brian,Melissa","Brian,Melissa",59,38
1/24/2015 20:07:47,1/24/2015,Ca$h 'n Guns,"Aaron,Brian,Erin,JJ,Melissa,Sarah,Shannon",Shannon,45,350000
1/24/2015 22:04:06,1/24/2015,Cosmic Encounter,"Brian,Erin,JJ,Melissa,Sarah,Shannon",Nobody,76,
1/29/2015 21:57:39,1/29/2015,Dice Masters,"Brian,Melissa",Melissa,94,1
1/29/2015 23:46:10,1/29/2015,Zombie 15',"Brian,Greg,Jay,Jerry,Melissa","Brian,Greg,Jay,Jerry,Melissa",85,
2/5/2015 23:48:30,2/5/2015,Bananagrams,"Brian,Melissa",Brian,41,
2/6/2015 0:25:18,2/5/2015,Alien Frontiers,"Brian,Greg,Jay,Melissa",Jay,150,14
2/14/2015 22:38:57,2/14/2015,Pandemic,"Brian,Melissa",Nobody,42,3
2/16/2015 22:24:18,2/16/2015,Pandemic,"Brian,Melissa",Nobody,53,3
2/19/2015 22:31:23,2/19/2015,Scoville,"Bert,Brian,Chuck,Jay,Melissa",Jay,160,119
2/21/2015 0:54:28,2/21/2015,The Resistance,"Aaron,Brian,Charity,Judy,Justin,Melissa,Rachel,Shane","Brian,Melissa,Shane",31,1
2/21/2015 0:55:08,2/20/2015,The Resistance,"Aaron,Brian,Charity,Judy,Justin,Melissa,Rachel,Shane","Aaron,Brian,Shane",21,1
2/28/2015 0:51:03,2/27/2015,Dixit,"Becky,Brian/Melissa,Charity/Justin,Judy,Megan,Shane",Charity/Justin,60,
2/28/2015 1:04:57,2/27/2015,Pit,"Becky,Brian,Charity,Judy,Justin,Megan,Melissa,Shane",Judy,3,
2/28/2015 1:05:35,2/27/2015,Pit,"Becky,Brian,Charity,Judy,Justin,Megan,Melissa,Shane",Brian,2,
